,金額,日付,メモ,カテゴリー名
116,-300,2019/04/30,スタバ,食費
117,-100,2019/04/29,チャリ代,チャージ(交通費)
118,-4000,2019/04/28,飲み会,交際費
119,-50000,2019/04/28,4月分投資資金,投資資金
120,-154,2019/04/28,渋谷から駒澤大学,チャージ(交通費)
121,-1700,2019/04/28,飲み会,交際費
122,-3000,2019/04/28,飲み会,交際費
123,-313,2019/04/27,スタバ,食費
124,-2200,2019/04/26,飲み会,交際費
125,-100,2019/04/26,チャリ代,チャージ(交通費)
126,-100,2019/04/25,チャリ,チャージ(交通費)
127,-8877,2019/04/24,本: プログミング2冊、学習方1冊、洋書1冊,自己投資資金
128,-505,2019/04/24,お菓子と誕プレ,食費
129,-16800,2019/04/23,with,交際費
130,-100,2019/04/23,チャリ,チャージ(交通費)
131,-154,2019/04/22,渋谷→五反田,チャージ(交通費)
132,-156,2019/04/22,五反田→渋谷,チャージ(交通費)
133,-360,2019/04/22,エクセルシオール,食費
134,-313,2019/04/22,スタバ(コーヒー),食費
135,-1026,2019/04/22,もうやんカレー,食費
136,1500,2019/04/21,遊戯王売る,その他
137,-4000,2019/04/20,おふさんと塚本さんに会う,自己投資資金
138,-313,2019/04/20,スターバックス(アイスコーヒー),食費
139,-154,2019/04/20,渋谷→五反田,チャージ(交通費)
140,-918,2019/04/20,鎌倉→渋谷,チャージ(交通費)
141,-388,2019/04/20,横浜→鎌倉,チャージ(交通費)
142,-190,2019/04/20,鎌倉→長谷,チャージ(交通費)
143,-2500,2019/04/20,中華食べ放題、たくやとさっくん,交際費
144,-210,2019/04/20,,チャージ(交通費)
145,-388,2019/04/20,渋谷→横浜,チャージ(交通費)
146,-388,2019/04/19,東京→吉祥寺,食費
147,-529,2019/04/19,抹茶フラペチーノ,食費
148,-195,2019/04/19,渋谷→東京,チャージ(交通費)
149,-154,2019/04/18,渋谷→新宿,チャージ(交通費)
150,-154,2019/04/18,新宿→渋谷,チャージ(交通費)
151,-700,2019/04/16,道後(レバニラ定食),食費
152,-2160,2019/04/14,本:ジョブ理論,自己投資資金
153,2820,2019/04/14,服,その他
154,-100,2019/04/14,マックコーヒー,食費
155,-1000,2019/04/13,餃子,交際費
156,-100,2019/04/13,チャリ,チャージ(交通費)
157,-2200,2019/04/13,二次会,交際費
158,-2600,2019/04/12,韓国料理,交際費
159,-500,2019/04/12,ハブカード,交際費
160,-520,2019/04/12,ジンニック,交際費
161,-100,2019/04/10,チャリ代,交際費
162,-1728,2019/04/10,本,自己投資資金
163,-1480,2019/04/08,まーさん、Xavier ,交際費
164,-480,2019/04/08,iTunes,契約
165,-1030,2019/04/07,ハブ,交際費
166,-8050,2019/04/07,珍獣屋、パリジャン,交際費
167,-367,2019/04/07,スターバックスラテ,食費
168,-162,2019/04/07,スタバ(おかわり),食費
169,-313,2019/04/07,スタバコーヒー,食費
170,-133,2019/04/06,渋谷→原宿,チャージ(交通費)
171,-900,2019/04/06,マンゴーツリーカフェ,交際費
172,-313,2019/04/06,スタバのコーヒー(ショートサイズ),食費
173,-3000,2019/04/05,飲み会,交際費
174,-216,2019/04/05,手数料,契約
175,-616,2019/04/04,品川シーサイド→渋谷,チャージ(交通費)
176,-154,2019/04/04,渋谷→五反田,チャージ(交通費)
177,-300,2019/04/03,カレー弁当,食費
178,-821,2019/04/03,世界のエリートはなぜ美意識を鍛えるのか,自己投資資金
179,-165,2019/04/02,品川→渋谷,チャージ(交通費)
180,-340,2019/04/02,こーひ,食費
181,-165,2019/04/02,渋谷→品川,チャージ(交通費)
182,-300,2019/04/02,弁当,食費
183,-5725,2019/04/01,TOEIC支払い(Epos),自己投資資金
184,-450,2019/04/01,社食(サラダ),食費
185,-195,2019/04/01,吉祥寺→渋谷,チャージ(交通費)
