,金額,日付,メモ,カテゴリー名
311,-835,2019/02/28,りんご、バナナ、さしみ,食費
312,-620,2019/02/28,大阪城公園→学研北生駒,チャージ(交通費)
313,-620,2019/02/28,学研北生駒→大阪城公園,チャージ(交通費)
314,-10000,2019/02/28,,家賃
315,-935,2019/02/28,徳田,食費
316,-200,2019/02/28,うどん,食費
317,-100,2019/02/28,サラダ,食費
318,-1620,2019/02/28,本: すごい副業,自己投資資金
319,-1944,2019/02/28,本: Factfulness,自己投資資金
320,-228,2019/02/27,プリッツ、ビスケット,食費
321,-370,2019/02/27,回鍋肉丼,食費
322,-100,2019/02/27,サラダ,食費
323,-1130,2019/02/27,学研北生駒→芦屋,チャージ(交通費)
324,-1130,2019/02/27,学研北生駒→芦屋,チャージ(交通費)
325,-3000,2019/02/27,飲み会,食費
326,-1040,2019/02/26,学研北生駒→芦屋,チャージ(交通費)
327,-86,2019/02/25,ビスケット,食費
328,-300,2019/02/25,ウェットティッシュ,食費
329,-300,2019/02/25,駐車代,チャージ(交通費)
330,-168,2019/02/24,森永牛乳,食費
331,-98,2019/02/24,六甲山 おいしい水,食費
332,-298,2019/02/24,ウルトラアタックネオ,日用品
333,-298,2019/02/24,信州塩麹みそ無添加,食費
334,-203,2019/02/24,ひいか,食費
335,-198,2019/02/24,生銀さけ,食費
336,-228,2019/02/24,野菜一日これ一本,食費
337,-2000,2019/02/23,飲み会,交際費
338,-2000,2019/02/23,飲み会,交際費
339,-100,2019/02/23,マック、コーヒー,食費
340,-5,2019/02/23,お賽銭,契約
341,-1000,2019/02/23,栄養セミナー,自己投資資金
342,-600,2019/02/23,松屋、キムカル丼,食費
343,-220,2019/02/23,ドトール、コーヒー,食費
344,-740,2019/02/22,梅田→学研北生駒,チャージ(交通費)
345,-180,2019/02/22,大正→大阪,チャージ(交通費)
346,-367,2019/02/22,スターバックスラテ,食費
347,-280,2019/02/22,カラオケ,趣味
348,-740,2019/02/22,学研北生駒→ドーム前千代崎,チャージ(交通費)
349,-198,2019/02/22,サンドウィッチ,食費
350,-573,2019/02/22,弁当とサラダ,食費
351,-740,2019/02/21,学研北生駒→本町,チャージ(交通費)
352,-528,2019/02/21,唐揚げ弁当と1日分の野菜,食費
353,-163,2019/02/21,トッポ,食費
354,-200,2019/02/21,奈良先端大から学研北生駒(つもり),チャージ(交通費)
355,-1000,2019/02/21,経済セミナー,自己投資資金
356,-740,2019/02/21,本町→学研北生駒,チャージ(交通費)
