,金額,日付,メモ,カテゴリー名
0,-313,2019/06/08,スタバ、コーヒー,食費
1,-531,2019/06/08,,光熱費
2,-496,2019/06/08,スタバ、カプチーノ,食費
3,-7311,2019/06/07,起業家繋がり,交際費
4,-200,2019/06/07,洗濯,衣服
5,-920,2019/06/06,スーパー,食費
6,-4000,2019/06/06,飲み会(国際),交際費
7,-3000,2019/06/05,飲み会(ユビ研),交際費
8,-3000,2019/06/05,,チャージ(交通費)
9,-4000,2019/06/04,女道場(あおちゃん),交際費
10,-2716,2019/06/04,,食費
11,-356,2019/06/03,スチームミルク,食費
12,-899,2019/06/02,スーパー,食費
13,-162,2019/06/02,スタバ,食費
14,-2800,2019/06/02,フランフラン,交際費
15,-313,2019/06/02,スタバ,食費
16,-9882,2019/06/02,自動車,契約
17,-16179,2019/06/02,カラオケビックエコー(トビタテ),交際費
18,-500,2019/06/02,,チャージ(交通費)
19,-1200,2019/06/01,天狗とバー,交際費
20,-5198,2019/06/01,目利き番長(トビタテ),交際費
21,-5470,2019/06/01,ぐう,交際費
22,-170,2019/06/01,目薬,日用品
